condition,eer,delta_eer,far_at_ref,frr_at_ref,failure_mode,bonafide_mean,bonafide_std,spoof_mean,spoof_std
clean,38.7214,,38.7213,38.7214,balanced,2.174392,3.851256,-1.626657,6.980362
mp3_64kbps,38.8786,0.1572,36.1802,43.3556,bonafide collapse,1.725673,4.02506,-2.191399,7.26515
mp3_noise_babble_20dB,43.5252,4.8038,55.2523,29.4467,spoof collapse,2.795961,3.438313,1.036276,4.892336
mp3_short_3s,39.2516,0.5302,31.3581,50.4225,bonafide collapse,0.706072,6.496056,-4.798961,10.15421
noise_ambient_10dB,47.9818,9.2604,55.7338,39.3711,spoof collapse,2.612965,4.893075,1.454224,5.766437
noise_ambient_20dB,44.112,5.3906,47.3275,40.1542,spoof collapse,2.358496,4.504389,0.153542,6.14161
noise_babble_10dB,46.5987,7.8773,78.7331,14.3516,spoof collapse,3.923631,2.829217,3.291858,3.435119
noise_babble_20dB,43.2092,4.4878,57.3416,26.6303,spoof collapse,3.042577,3.313797,1.293746,4.712281
noise_babble_20dB_short_3s,43.391,4.6696,46.4668,39.9544,spoof collapse,2.021364,5.453861,-0.476411,6.979407
opus_32kbps,38.3574,-0.364,37.2358,40.1217,balanced,2.061535,3.947543,-1.856372,7.01244
short_3s,39.0892,0.3678,32.8583,47.883,bonafide collapse,1.113204,6.4082,-4.394515,10.091557
short_5s,38.3587,-0.3627,33.0073,46.5116,bonafide collapse,1.345302,5.491438,-4.059574,9.426761
