condition,low_pct,medium_pct,high_pct,low_count,medium_count,high_count,low_precision,high_precision,low_bon,low_spf,high_bon,high_spf
clean,36.86025024457456,31.266470223598436,31.87327953182701,250935,212854,216985,0.2892701297148664,0.9470792911952439,72588,178347,11483,205502
mp3_64kbps,34.90644472321211,30.655107274954684,34.43844800183321,237634,208692,234448,0.288502487017851,0.9396923838121887,68558,169076,14139,220309
mp3_noise_babble_20dB,24.78193938076366,32.540608190089515,42.677452429146825,168709,221528,290537,0.27674872117077337,0.8990008157308708,46690,122019,29344,261193
mp3_short_3s,31.552468219996648,25.937388913207617,42.51014286679574,214801,176575,289398,0.2863580709587013,0.9002826557198046,61510,153291,28858,260540
noise_ambient_10dB,26.659214364825917,37.75011971667543,35.59066591849865,181489,256993,242292,0.26658915967358904,0.891040562626913,48383,133106,26400,215892
noise_ambient_20dB,29.517872304171426,32.19453151853626,38.287596177292315,200950,219172,260652,0.28046777805424233,0.9133480656200604,56360,144590,22586,238066
noise_babble_10dB,25.575301054388095,46.23604896779254,28.188649977819363,174110,314763,191901,0.27156395382229626,0.8969260191452885,47282,126828,19780,172121
noise_babble_20dB,26.089715529676518,33.98954719187278,39.9207372784507,177612,231392,271770,0.2801725108663829,0.9072340582109872,49762,127850,25211,246559
noise_babble_20dB_short_3s,23.65102074991113,24.78164559751107,51.567333652577794,161010,168707,351057,0.2781752686168561,0.8663607334421476,44789,116221,46915,304142
opus_32kbps,35.819229289015155,30.959907399518784,33.22086331146606,243848,210767,226159,0.2834142580623995,0.9406214212125098,69110,174738,13429,212730
short_3s,33.01932800018802,26.09280025382873,40.88787174598325,224787,177633,278354,0.2855058344121324,0.9043699749240176,64178,160609,26619,251735
short_5s,33.75701774744629,26.156404328014876,40.08657792453884,229809,178066,272899,0.28671200866806784,0.9188381049399228,65889,163920,22149,250750
