condition,eer,delta_eer,far_at_ref,frr_at_ref,failure_mode,bonafide_mean,bonafide_std,spoof_mean,spoof_std
clean,38.0294,,38.0296,38.0292,balanced,0.786275,0.334058,0.410727,0.569239
clean,38.0294,,38.0296,38.0292,balanced,0.786275,0.334058,0.410727,0.569239
mp3_64kbps,37.8627,-0.1668,36.1266,41.0504,bonafide collapse,0.75885,0.358072,0.377105,0.578184
mp3_noise_babble_20dB,38.2872,0.2578,26.9821,58.168,bonafide collapse,0.596359,0.438835,0.278911,0.5553
mp3_short_3s,38.5304,0.501,32.1975,48.8903,bonafide collapse,0.633029,0.474329,0.269577,0.622645
noise_ambient_10dB,40.9769,2.9475,29.197,57.6416,bonafide collapse,0.607431,0.424825,0.365847,0.526064
noise_ambient_20dB,38.3011,0.2717,31.201,50.8371,bonafide collapse,0.664656,0.41358,0.331518,0.562418
noise_babble_10dB,41.3634,3.3339,29.6021,56.9718,bonafide collapse,0.647837,0.384681,0.443137,0.475306
noise_babble_20dB,38.2325,0.2031,28.366,55.4064,bonafide collapse,0.631159,0.420178,0.311033,0.549333
noise_babble_20dB_short_3s,39.457,1.4276,24.8343,62.1078,bonafide collapse,0.463388,0.53635,0.170832,0.59818
opus_32kbps,38.3912,0.3618,37.2633,40.5147,bonafide collapse,0.765371,0.351887,0.396825,0.572131
short_3s,38.6963,0.6669,33.6605,46.8015,bonafide collapse,0.655437,0.462143,0.292463,0.621528
short_5s,37.9277,-0.1017,34.4897,44.4177,bonafide collapse,0.699009,0.428854,0.303502,0.618948
